SOAAADD12AB018A9DD	TRNCENP12903C9EF3A
SOAACGC12A8C1311C6	TRQNVVM128F92FD397
SOAACGG12A58A7A034	TRVDXAI128F146CC1B
SOAACGM12A8C13A6C0	TRVISMY128F92DFE93
SOAACMX12A6D4F75E1	TRVSCZF128F146947A
SOAACNA12AB01867BA	TRONHXQ12903CE394E
SOAACNM12A8C135CD1	TRDMBSW128F424F0A7
SOAACNQ12A8AE4692D	TRUMUFP128F427B1CC
SOAACPJ12A81C21360	TRGJYCK128F422EF6D
SOAACPS12A6BD53798	TRYGRDA128EF34B684
SOAACQI12AB017F874	TRHTLLV128F9309110
SOAACRX12A6D4F8A87	TRWPKTM128F147D57F
SOAACSG12AB018DC80	TRCQRWV12903CC0134
SOAACSQ12AB0187742	TRPYOVV12903CCC2D4
SOAACTC12AB0186A20	TRAOKGI128F9329375
SOAACVP12A8C134567	TRLJVBK128F426143A
SOAACVW12A8C135849	TRIJBOA128F427ACB4
SOAACXA12AB0183D37	TRDASGV128F932D9D3
SOAACXA12AB018A864	TRRHBCM12903CC555A
SOAACXD12A6D4F9782	TRBPFUT128F1481155
SOAACZB12A8C13670D	TRUCTAV128F4258D49
SOAACZY12A6D4F8081	TRHEKIO128F930719E
SOAADAD12A8C13D5B0	TRAABOG128F42955B1
SOAADAG12AB018997B	TRFYLJV12903CD233C
SOAADAS12A58A784EC	TRXWJKM128F93180D0
SOAADAY12A6D4F9F4C	TRXDUAP128F14700D6
SOAADBZ12A8AE46874	TRYOBNM128F4233336
SOAADCB12A81C22AFA	TRDRJWB128F42345E8
SOAADGU12AB018321A	TRFKKTX128F932377F
SOAADGZ12A8C1415AC	TRFLXCE12903CBC6DE
SOAADJH12AB018BD30	TRAHGMU12903CC0A58
SOAADJL12AB0184AD2	TRJGGQO128F932999D
SOAADJU12AB01872C7	TRODQGL128F9350CE6
SOAADKA12A8AE48100	TRNGYKL128F423CD16
SOAADLG12A58A816B2	TRYRCRH128F42593B0
SOAADMG12AB017A9F8	TRWXJGC128F92DD8D5
SOAADMV12A8C13CA35	TRJKQIE128F4284ECD
SOAADOD12A58A7AC23	TRTMFLZ128F145A7FC
SOAADOM12A6D4FF078	TRZMUKA128F4230F9C
SOAADOV12AAF3B23A8	TRVYUSS12903C9BDC0
SOAADQN12AB017E985	TRLCBLO128F92F3150
SOAADSL12A8C1376E3	TRFXSXG128F425E48D
SOAADUU12AB0183B6F	TRANJOB128F930011A
SOAADVA12A8C130133	TRMWLOH128F4263E41
SOAADVM12A6D4F4A34	TRLHWZY128F1466EA6
SOAADWH12A58A7A651	TRBGQGJ128F9314AD3
SOAADXN12AB0184C0A	TRQBJQT128F931B0CF
SOAAEBD12AB017C4C1	TRDRILR128F930AB3D
SOAAEBP12A6D4FAF2C	TRDDVAH128F148F708
SOAAECA12AB0186242	TRYBWER128F932DEEF
SOAAEDW12AB018B4D2	TRPSLJP12903CE1CCA
SOAAEDY12AB017B891	TRTETQJ128F93502A2
SOAAEEE12A8C13EA59	TRFRRTC128F92D216E
SOAAEEK12AB018532D	TRKSPGK128F92F9B43
SOAAEFC12AB01852F1	TRFKWJW12903CD3E3F	TRYWQZV12903CB413C
SOAAEFL12A6D4F79A7	TRCSMIR128F145CD81
SOAAEHQ12A6D4F6AB8	TRESGCX128EF35A465
SOAAEHR12A6D4FB060	TRAYPFH128E07937C3
SOAAEIY12AB0185B91	TRYGZFP128F9316520
SOAAEJI12AB0188AB5	TRLBHAD128F93519FC
SOAAEJQ12A8C1437EF	TRESFZR128F930FE04
SOAAEJW12AB018664A	TRPAPRC12903CC4BCA
SOAAEKX12A6D4F7E4E	TRPRALG128F1466A7D
SOAAEMV12A81C23896	TRREMBF128F4255227
SOAAEOE12A67021AA2	TRMKBTM128E078E223
SOAAEPT12AB018513F	TRZWCKN128F93117E1
SOAAEQL12AB017E569	TRHYJUR128F930332E
SOAAERW12AB0183A37	TRXANHP128F9310245
SOAAESJ12A58A7B626	TRXOJVU128EF34EF0D
SOAAETA12A6D4FC626	TRATMLU128F422BD49
SOAAETJ12A6D4F96F8	TREDKLQ128F148878C
SOAAETS12AB0180FAE	TRKWGZR128F93482E6
SOAAEUC12A6D4FA74E	TRNAAQP128F147C8F9
SOAAEUG12A8C137BF1	TRMKHAW128F427D459
SOAAEUY12AB017FBA0	TRVSHMD128F93132C5
SOAAEXS12A58A784B3	TRLKFXK128F93029EC
SOAAEZT12A58A7C42E	TRYJOQQ12903CE838A
SOAAFAC12A67ADF7EB	TRHCCXP128E0796554
SOAAFAG12A8C13DB43	TRFSFNJ128F42753D8
SOAAFBJ12AB018E272	TRMIMER12903CD193C
SOAAFBR12AC9072B49	TRKTAKC12903CFDF51
SOAAFBZ12AB01842D7	TRMNTES128F9315574
SOAAFDI12AB018888E	TRQYCXQ12903CBB35F
SOAAFEO12A6702003E	TRGCRIN128E0792958
SOAAFEU12A8C132BB6	TRFDQNG128F426A9C4
SOAAFEW12A8AE47AE5	TRCOLPQ128F4237499
SOAAFGK12A8C13CC2C	TRDPUDG128F4291AD8
SOAAFHQ12A6D4F836E	TRAWCZK128F146DDF3
SOAAFJC12A6D4F815F	TRMWZIO128F146B0FF
SOAAFJK12B0B80864C	TRDUXCX128E0782B6D
SOAAFJR12A8C138259	TRFQTGE128F92C7811
SOAAFKA12AB01831BC	TRUDXMD128F93448D5
SOAAFKK12AB0187BC7	TROTEFX12903CD9C4F
SOAAFKX12AB01855CE	TRRFHVE12903CD475C
SOAAFMP12A67ADE7E1	TRTRISI12903CF407D
SOAAFMP12AAF3B1E36	TROOLWE128F92F595C
SOAAFPQ12A6701FC35	TRGMSBR128E078FC4B
SOAAFQD12A6D4FA2E4	TRNHCJM128F1495031
SOAAFQS12AB01869B1	TRYGMMG128F9342899
SOAAFUV12AB018831D	TRAMPCN12903CC4E5B
SOAAFVG12A8C13C107	TRNUVYW128F427636E
SOAAFVK12A8C1311B9	TRGUMRG128F423EC9C
SOAAFVM12AB018B472	TRKFRPC12903CAD743
SOAAFWZ12AB0182226	TRZUDMF128F93364CF
SOAAFXM12A58A7BEF9	TRCWLOX128F149C3F7
SOAAFYH12A8C13717A	TRXHYFP128F4267D20
SOAAGAU12A6D4F8AD1	TRMEFMY128F147C1B4
SOAAGBA12AB018126F	TRXQWLX128F9350DA3
SOAAGBO12AB017CEBB	TRAZWIB128F92FA059
SOAAGDG12A6D4F682D	TRRYBWZ128F145B3F7
SOAAGDJ12A8C13A1C6	TRHUYUZ128F931BEBB
SOAAGFH12A8C13D072	TRJGIMJ128F4293095
SOAAGFY12A8C13A90F	TRRFDIX128F42930BA
SOAAGGH12A8C136617	TRTFUTA128F426408A
SOAAGGK12AC90979F6	TRGOTFR12903D0058D
SOAAGIJ12AB0184923	TRTPAOQ128F9328574
SOAAGIL12A8C137FE0	TRKPCKQ128F426850B
SOAAGJJ12A8AE47B70	TRFHEMU12903CAF49A
SOAAGJU12AB018C6E2	TRYPQWV12903CAFC5F
SOAAGKQ12A8C13433E	TRCCDRO128F425F131
SOAAGPC12A81C218AD	TRSLXCC128F9308DBF
SOAAGQA12A81C2302D	TRSIKWT128F4236CEF
SOAAGQN12A6D4F4BBA	TRKWQOY128F1468E66
SOAAGQU12AB01843A8	TRSIFHP128F933035A
SOAAGRF12A8C141E3D	TRQRZWO12903CDCAB3
SOAAGRT12AF72A2A6C	TRTRIHR128F1469DAA
SOAAGRU12A8C13C8FB
SOAAGXE12A58A798D5	TRTYXMC128F42B67A6
SOAAGXG12AB01809F7	TRUTSMH128F931095C
SOAAGXT12A8C13A94D	TRAFRBD128F42992AD
SOAAGYA12AB0184F2D	TRZCLAO128F931A560
SOAAGYY12A6D4F705E	TRNXWRW128F1453815
SOAAGZK12A8C140943	TROCQJO128F428A4A9
SOAAHEO12A6701F2C5	TRZPTHN128E0785A77
SOAAHEW12A8C142E31	TRYRJXV128F9319DF7
SOAAHGF12A8C1402E0	TRNRPBI128F42A3869
SOAAHHC12AB01899D0	TRMZKGM12903CE8537
SOAAHHQ12A8C13474F	TRNZBDQ128F4277D55
SOAAHKE12A6D4F8EB5	TRFXHLK128F1472657
SOAAHKN12AB0183647	TRQDXFN128F931A3E2
SOAAHMO12A8C13EC21	TRQXUAO128F4281478
SOAAHMZ12A8C13C714	TRPKZUP128F427D69A
SOAAHOF12AB01852AB	TRLGSKS128F92F3135
SOAAHOU12A58A7F611	TRIKMQN128F149E004
SOAAHPF12A8C134887	TRBAZHX128F934C9F4
SOAAHPQ12A8C13B476	TRKHNXW128F42975F7
SOAAHQS12A6D4F6DC4	TRLAUYU128F145CE93
SOAAHRY12A8C133C0C	TRVFMBA128F424C378
SOAAHSS12A8AE45100	TRPXBDW128F42638F4
SOAAHYK12AB01802EF	TRHHEGP128F932C030
SOAAHYR12A8AE4889D	TRJHJOW128F4242790
SOAAHZO12A67AE1265	TRADCXM12903CC3ACF
SOAAHZO12A8C1383C0	TRMOOVG128F42612B7
SOAAHZS12A8C140B00	TRCNRTQ128F42B1DCF
SOAAIBI12A6D4F8040	TRYAURE128F1493904
SOAAIBN12A6D4F97E3	TRZHWTM128F148D146
SOAAIBQ12AB0187485	TRMKGUV128F92FFB31
SOAAICN12AC3DF5B65
SOAAICR12AB01873FC	TRXJZHT12903CB30D3
SOAAIDS12A67AD72F6	TRBPOQB128F1495651
SOAAIEC12AAA8C87CE	TRYDIIE128F92D57DE
SOAAIEH12A8C134831	TRYCHPY128F426975F
SOAAIJB12A8151AA86	TRDHAMU128F9316D9B
SOAAIJG12AAA15D821	TRIXJSU128F92D4160
SOAAIJX12A8C13EEFB	TRPYAZH128F427D3DC
SOAAIJZ12A8C143D47	TRTNRMA128F92D08D1
SOAAINO12AB0189595	TRTIBFR12903CCC0C0
SOAAIPD12A8C1320B8	TRPTBOY128F424E586
SOAAIPL12AB0180228	TRJXFQG128F930AE94
SOAAISU12AF72A44D3	TRLPNCR128F4262D8E
SOAAITH12A8AE48DBF	TRGALCL128F4235154
SOAAITH12AB0186413	TRGNUSF128F934364C
SOAAITW12A8C134E73	TRNPYQI128F427162E
SOAAIUK12AB0187301	TRCLWXD12903CA2DDA
SOAAIUP12A6D4FA717	TRWQRTT128F14943A3
SOAAIVC12A6D4F7E0E	TRHXWZI128F1463A64
SOAAIVP12A8C132F48	TRLQTYV128F424DE40
SOAAIWE12A8AE4706B	TRWHGGH128F4260EB5
SOAAIXJ12AB01801DB	TRQLQBR12903CE1633
SOAAIYB12A8C142CC6	TRIGIXM128F9359D6F
SOAAJBX12AC468B43A	TRDDSXE12903D0EB1D
SOAAJCO12A8C140456	TRVPZMZ128F1460F9C
SOAAJFA12A8C1357E5	TRTDQFZ128F425C55B
SOAAJGM12A81C2186C	TRVBXBR128F422201C
SOAAJGZ12A58A7E8D8	TRTKZMN128F14736C1
SOAAJKI12AB017B3C2	TRFNQIM12903D08344
SOAAJKQ12A6D4FC661	TRUOMVO128F4248483
SOAAJMQ12A6D4F7D17	TRGAWCB128F4260DE6
SOAAJNX12A6D4F8CCF	TRWNSYR128F1478C28
SOAAJNX12A8C1371FA	TRRFLSD128F424C105
SOAAJQK12AB017F89F	TRWOCDB128F93098F6
SOAAJSF12AB017FDB6	TRUQHFD128F92FE180
SOAAJSO12A58A7AB05	TRZUZJG128F425ABBF
SOAAJVL12A8C13AB92	TREUBTW128F4271EA3
SOAAJWE12AB01837B0	TRQGGNN128F932F41C
SOAAJWZ12A67AE16FB	TRQWFNF128EF340D52
SOAAJYI12A8AE46016	TRLOJFQ128F423CF5F
SOAAJYY12A8AE45C5A	TRJSVVN128F425F255
SOAAJZP12A6701DE5C	TRUOONM128E07924E8
SOAAKAX12A67020C89	TRHIZQJ128E078DA33
SOAAKBD12AB017F678	TROUFNU128F9329DCD
SOAAKBE12A8C139075	TRAQMFZ128F4268236
SOAAKCF12A58A77D93	TRBWKKB128F42610D4
SOAAKCT12AB0185571	TROEPZP128F934B642
SOAAKEA12AF72A926F	TRSKCVO128F92D3024
SOAAKEY12AB0184A94	TRQESWT128F933E56F
SOAAKFK12AB018D918	TRMCDFI12903CBAEAF
SOAAKFN12A6D223B53	TRQDIEG128EF350332
SOAAKFY12A6D4F7B03	TRJTSLA128F145E9F4
SOAAKGH12A8C134E62	TRLPISH128F4241416
SOAAKJT12B0B80BD76	TRMICTW128E0781E24
SOAAKJU12A8C13B635	TROWTIR128F4269030
SOAAKJX12AB017D896	TRXMAXW128F9300D38
SOAAKLA12A58A7A3CC	TRALZUQ128F1491F37
SOAAKNE12A6D4FBBFB	TRHDCXO128F1495D4D
SOAAKNR12A8C145AF6	TRGCBRB128F92ED27C
SOAAKPM12A58A77210	TRFJPAQ128F4228EBE
SOAAKQD12A8C144401	TRVDLZO128F92CA0F2
SOAAKQI12A8AE47454	TRWVQXK128F42366C5
SOAAKRH12A8AE477F5	TRNYUSI128F424099E
SOAAKRN12A6D4F6D88	TRQGFJS128F1452A59
SOAAKRV12AB0187CE3	TRLUAGG12903CE420B
SOAAKSD12A6D4F6D19	TRPORUS128EF35D588
SOAAKSG12A8C136679	TRKSBXZ128F4259809
SOAAKSN12A6D4F6E3C	TRUYICZ128F1497D20
SOAAKVQ12A8AE453E8	TRNDKYP128F4236D19
SOAAKVS12AB0184CA3	TRJGHSR12903CABE56
SOAAKYE12A670207C3	TRKFVBN128E078F77C
SOAAKZO12A6D4F84EA	TRVZKGE128F1474063
SOAAKZU12A8AE4783D	TRLJWEV128F423BEBD
SOAALEG12A58A79808	TRPBFAT128F427C464
SOAALFT12A8C134574	TROPHUA12903C9FEC3
SOAALGG12A8C13D064	TRVBGFF128F426D240
SOAALHB12A8C13F5F3	TRDNMKY128F92C40B5
SOAALHU12A8C13D38E	TRBDMDX128F42866D2
SOAALHV12A8C1319C9	TRHXAAW128F423EB38
SOAALJB12A8C13C4B6	TRRPRKD12903CC8150
SOAALJG12A8C139F55	TRZLCET128F428906C
SOAALUD12A6D4FD5F8	TRERPDR128F42303C8
SOAALUX12A58A7B873	TRVSVNW128F4267AED
SOAALVL12A6D4FB5F1	TRUVABS128F14B0DB3
SOAALVW12A6D4F8260	TRPAYSH128F145D074
SOAALWN12A6D4F7FDA	TRVRZIQ128F93355E5
SOAALYG12A58A7BBB2	TRGTWST128F426ACD0
SOAAMAA12A58A7F88A	TRBTJUS128F4295382
SOAAMAR12AB018601E	TRHDECQ128F9324B08
SOAAMCN12AB0181E7D	TRXUEIC128F931F5EC
SOAAMDO12A6D4FE27C	TRSVLLC128F421EB1A
SOAAMFJ12AB017FE0E	TRYZLYC128F92E8860
SOAAMIB12A8C13EC3E	TRHFNHQ128F42A24FF
SOAAMIZ12AB018B3B8	TRKUPDP12903CC6673
SOAAMJP12A679C803E	TRMQUAA128F1481FD3
SOAAMJQ12A6D4FB0FB	TRDGGSF128F14A3140
SOAAMKY12A58A7F085	TRWMHVI128F1453FE5
SOAAMMO12A6D4F695E	TRKNVDA128EF361B94
SOAAMOW12AB018149B	TREOVWY128F9320A38
SOAAMOX12A8C13A5F4	TRDPDPD128F425CEC8
SOAAMPN12A6310D812	TROILKY128C71964C2
SOAAMQR12A6D4F82EE	TRGDHOL128F1461122
SOAAMRP12A8C13A184	TRFQSWH128F42951DD
SOAAMRX12A8C13041D	TRBJUXU128F4248D8A
SOAAMSA12AB0185275	TRRJVNE128F934BBDC
SOAAMTH12AF729D4E5	TRMCYOC128F147B791
SOAAMWQ12A8C144DF1	TRALXIM128F92CA4F1
SOAAMWW12A8C14394D	TRRFLXH128F930F42A
SOAAMXC12A8C13B760	TRYDKGN128F427B2F8
SOAAMZN12AB017EC4E	TRJSGLN128F9312500
SOAANAP12AF72A5E51	TRTKXVI128F931FC34
SOAANAX12AB017E7F3	TRDLWHG128F931D9C5
SOAANBW12A6D4F8DE9	TRAIUUQ128F1460072
SOAANGG12A58A7BA5C	TRNBZCU128F42892FF
SOAANIZ12AAA8C86DC	TRNTKVH128F93011DC
SOAANJB12A8C13A132	TREMYVW128F933D9E9
SOAANJE12A8C1350D0	TRWQPGX128F4251720
SOAANKC12AB018D1B7	TRYDNCJ12903CDEBF1
SOAANKE12A8C13CF5C	TRBDLDS128F429C171
SOAANLJ12A8C1443B6	TRDCWNR128F932DD81
SOAANMA12AB0185973	TRNBHBY12903CC1AC1
SOAANNP12A6D4F8791	TRZPDAB128F1477D85
SOAANSC12A8151B9B4	TRGMHYS128F422BECC
SOAANSZ12AB0185F5C	TRKIPTK128F93087AD
SOAANTD12AB017BE67	TRBVORS128F9312BCF
SOAANTG12AB0187656	TROWAUM128F935323C
SOAANVZ12A8C135B24	TRWUHIH128F4242948
SOAANYQ12AB0181317	TRSTSRP128F93131D9
SOAANZA12AB0180E76	TRJUGMD128F9301191
SOAAOAO12AB0189DFC	TRFHIGN12903CBBBC6
SOAAOCG12A8AE45D28	TRKGXSG128F422BD84
SOAAOGF12AB0189764	TRYAFVM12903CCC323
SOAAOLZ12A6D4FB403	TRAXGTP128F149577E
SOAAONL12AF729D74B	TRGHZOR128F428A75B
SOAAOPZ12A8C139E6A	TRELZPX128F425EA89
SOAAOQA12A8AE484E4	TRKLVWK128F425A324
SOAAOQV12A58A7FDFA	TRJWEXL12903C9A527
SOAAORH12A6D4F8025	TRKALHI128F1495217
SOAAORV12A8C144AE8	TRSLKTE12903CA60E7
SOAAOSA12A8C13A634	TRTIRQK128F428C1AB
SOAAOSI12AB01853B1	TRXPIRQ128F9321989
SOAAOTN12A8C1373A5	TREVGOS128F932A7DB
SOAAOUI12AB018381C	TRRSMOA12903C953AA
SOAAOVP12AB017D926	TRSJQQV128F93153EB
SOAAOYI12AB01831CE	TRTJKAN128F932C2F0
SOAAOYU12AB018097D	TRGRMLU128F930901B
SOAAOYV12A8C13EBAD	TRTJWEN128F42B5021
SOAAPAG12A8C144C04	TRKVUYC128F92C7CA9
SOAAPDG12A6D4F834B	TRYZNFQ128F146DDC2
SOAAPEE12AC3DF6D78	TRXMUKD12903D03DFD
SOAAPFK12A6D4F6A53	TRIEJCF128EF36672C
SOAAPIU12A6BD556DD	TREZUSK128EF34BECA
SOAAPIX12A8C13E254	TRHZUBR128F429EB04
SOAAPKC12AC4689961	TRIIFVQ12903D05E31
SOAAPKI12AB018C43A	TRUJNKZ12903CC4F14
SOAAPKQ12A6D4F6B4C	TRRJLSI128F146127D
SOAAPLN12AB018D86E	TRNDMEI12903CC4BD2
SOAAPMM12AB017C440	TRQZYGD128F92EDEE9
SOAAPMX12AB0181F54	TRMMOZR128F931474C
SOAAPNQ12A6D4FC654	TRXCUWQ128F14ADC1A
SOAAPOW12A58A787BA	TRJTNVS12903CF7511
SOAAPOX12AB018A02C	TRFFAFN12903C95512
SOAAPRF12A58A7CEE2	TRNPYQJ128F14B0BFF
SOAAPRV12AB018A335	TRPTMCZ12903CB5B88
SOAAPSJ12A8C13E391	TRPBPXW128F429B03C
SOAAPTP12A8AE46F86	TRSLHZY128F425A02F
SOAAPVN12A8C14450C	TROTTUB128F92CADC5
SOAAPVS12A6D4F74B8	TRCRJUP128F1458515
SOAAQCS12AB01826DD	TRDZFTX128F92F902E
SOAAQEL12AB0188A37	TRSTCNS128F9335511
SOAAQHU12AB0187C83	TRRXSKG12903CAC106
SOAAQIQ12A8C13D344	TRHJABQ128F4282A68
SOAAQIQ12AB0186B18	TRKPLBQ12903CA6100
SOAAQKA12AB018CD00	TRTOSDZ12903CEB178
SOAAQMC12A8C13F665	TRLLLRL128F4295614
SOAAQPR12A58A79C3E	TRTBEHZ12903CB0881
SOAAQSL12A6D4F97BE	TRVKVZQ128F147F8A8
SOAAQSO12A6D4FAB11	TRUWMBR128F14A777B
SOAAQSY12A58A7CBFF	TRMNHRS128F4267BCD
SOAAQTC12A58291751	TRBPAUG128F93328BC
SOAAQTH12A8C144AC0	TRRHBDT12903CA60C1
SOAAQUH12A8C144C1F	TRUSQEJ128F92EC3B4
SOAAQWU12A8C13F908	TRMMGPD128F42AA230
SOAAQXG12AB017E149	TRCUEXH128F9316028
SOAAQXR12AB017F01E	TROIVSX128F9303B66
SOAAQYB12A8C140E53	TRZCKAO128F42A83F2
SOAARAF12A6D4FB517	TRVCCMA128F14A2F24
SOAARAQ12A6D4F6BC0	TRBNTML128F146D5E0
SOAARBW12AC9074E90	TRKVSAG12903CEF311
SOAARBZ12A8C1417E7	TRKUXFO12903CDEAC4
SOAARCM12A8C13F36D	TRKPRNX128F428506F
SOAARDA12A8C1327C9	TRMHPHQ128F4234CD6
SOAARDX12AB0190029	TREMQBG12903CE3200
SOAAREU12A8C131FD8	TRKYPPF128F4264CB3
SOAARGA12AB01882BA	TRYMDIJ12903CB62A5
SOAARHL12AB017DBBC	TRLIXFB128F9319ECD
SOAARIK12A8C132748	TRQMZML128F423ECB3
SOAARIP12A6D4F6F75	TRUWTMQ128EF35EEC8
SOAARIU12AB0186119	TRKNHFR128F931B7B3
SOAARJU12A8C133DDE	TRUUIIJ12903CBA461
SOAARNN12A58A7B482	TRFEULL128F4252F21
SOAARNQ12AB0185193	TRVBJDW128F9322B96
SOAAROC12A6D4FA420	TRFBWEJ128F149EC04
SOAAROE12A6701DD5B	TRZVUKX128E078CB7A
SOAARPF12AB017F29C	TRZGNEF128F93065A1
SOAARTQ12A8C136AEE	TRBXRXS128F4265FC0
SOAARUT12AB0186741	TRXEDIN12903CC641B
SOAARXR12A8C133D15	TRJDOAI128F4247926
SOAARXS12A8C136C50	TRLHCOS128F4254E2F
SOAARYO12AF729FDD0	TRLHMIS128F93253FD
SOAARYW12AB01892B3	TRBJPJS128F932F173
SOAARZL12A8C1319CA	TRFIPGR128F4262563
SOAARZM12A58A7D41B	TRXPCDW128F426C1D9
SOAASAG12AC3DF469B	TRJAFKL12903CE65C8
SOAASAX12A6D4F9A95	TRZJXZF128F14814CA
SOAASCM12A58A7DCA1	TRGUHUT128F42BBAC9
SOAASCO12AB017DD6D	TRCYJFD128F93221F8
SOAASDC12AF72ABFF3	TRLYBIO128F92CC923
SOAASDZ12AC468D8B5	TRSTFXU12903CF68BE
SOAASEO12A58A7F249	TRIPUYV12903CED7F1
SOAASFN12AB017D562	TRDBNOC12903CF80FC
SOAASGI12AB01892DC	TRYHFVZ12903CBACD5
SOAASHY12A58A7C439	TRAFLMO128F42905D3
SOAASIE12AB018284E	TRFLWHE128F930CFAE
SOAASII12A58A7C5E0	TRZZZFI128F147B704
SOAASKS12A8C13D036	TRGXNQS128F4293485
SOAASMZ12A8C131D17	TRDLWGC128F934B48E
SOAASND12A58A7A70B	TRBEGGL128F14AE367
SOAASNE12AF72A9F12	TRTMITK128F92E41C5
SOAASNQ12A8C13BC2D	TRSZPNN128F4287215
SOAASOJ12A6D4F7E5A	TRGFURQ128F147D331
SOAASPC12A8C13BB9A	TRXEYXV128F426E171
SOAASPK12A8C1428C2	TRJBYFV128F9301744
SOAASSD12AB0181AA6	TRAQHPK128F92E339B
SOAASUU12A8C132AF2	TRTTLAL128F423EE47
SOAASVX12A6D4F6BF1	TRSXXFY128F146D61A
SOAASWH12AB0186AAF	TRMTYVR128F9343445
SOAASWZ12AB0186099	TRZDIZR12903CB8F9F
SOAASXO12A8C132609	TRDOYNM12903CEF757
SOAASYV12A6D4FC28C	TRHSFQO128F42444B8
SOAATAD12A8C145609	TRFNRLO128E079236C
SOAATAQ12A8C13F1D1	TRLITLR128F92F3385
SOAATBE12A6D4F7271	TRDPBQF128F146BB65
SOAATBH12A6D4F9389	TRDAXLP128F1491F50
SOAATCA12A81C208C2	TRWAPAY128F422CA60
SOAATDR12AB018920D	TRFEZXA12903CBA501
SOAATET12A8C14668C	TRWAIYU128F92D796D
SOAATGD12A8C13BC8F	TRHQGWY128F428DA4A
SOAATGM12A6D4F8829	TRUTFBZ128F1464E6B
SOAATHE12A8C13ADD6	TRGLJLL128F4259C2A
SOAATHU12AB018F74B	TRNRJIW12903CDAC36
SOAATIR12AF72A2229	TRZVYRT128F42866EA
SOAATJM12A81C21860	TRIMFCI128F4265EDF
SOAATKL12AB018CF51	TRTTZPH12903CE81B5
SOAATLI12A8C13E319	TRMPCAS128F42807E9
SOAATMV12A6D4FD077	TRNFFNE128F422BEFF
SOAATOU12A6D4F8F04	TRCODUR128F147D66A
SOAATPF12AB018306B	TRHEHUF12903CDD1A8
SOAATQV12A8C13991A	TRKPBMW12903CDBF56
SOAATSI12A6D4F7661	TRKWPGR128F14580A0
SOAATSX12AB01800B2	TRDPOMF128F930AA12
SOAATVI12AB0183AE7	TRHJJPI12903CA60AA
SOAATXC12A8C1374D5	TRZURKL128F425929C
SOAATYK12AB018893F	TRDJRAO12903CA1374
SOAATZB12AB017E8A8	TREEMVN128F9307660
SOAATZG12A6D4FB7AA	TRUWQQQ128F14AA5C7
SOAAUAY12AC9DCC618	TRIYHNT12903C95330
SOAAUBL12AB0185323	TRYCNLN128F934410D
SOAAUCO12A8C135CF0	TRVBUZT128F42772DF
SOAAUDN12AAF3B599F	TRBPXRJ128F9303F5E
SOAAUEW12A8C1445F6	TRZSNBO128F92CF178
SOAAUFG12A6D4FA966	TRHFDNK128F147ECD0
